Word,Sub_Type,Type2,Type3
bürger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
bürger(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
bürger(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
bürger(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
bürger(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism
bürgerwille(n|ns)?,volkswille,advocative,sovereignty
bürokrat(en|in|innen)?,elitenbezug,conflictive,anti-elitism
(.*)desaster(s)?,zzz_none,conflictive,anti-elitism
deutsche(n|r)? tradition(en)?,zzz_none,advocative,people-centrism
deutsche(n|r)? (.* )?versteh(t|en),common sense,advocative,people-centrism
direkt(e|er)? demokratie,direkte demokratie,advocative,sovereignty
dreist(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
durchschnittlich(e|er|en|em) deutsche(n|r)?,normale menschen,advocative,people-centrism
durchschnittlich(e|er|en|em) österreicher(s|n|innen|in)?,normale menschen,advocative,people-centrism
durchschnittlich(e|er|en|em) schweizer(s|n|innen|in)?,normale menschen,advocative,people-centrism
durchschnitts(-)?bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism
durchschnitts(-)?deutsche(n|r)?,normale menschen,advocative,people-centrism
durchschnitts(-)?österreicher(s|n|innen|in)?,normale menschen,advocative,people-centrism
durchschnitts(-)?schweizer(s|n|innen|in)?,normale menschen,advocative,people-centrism
einfach(e|er|en|em) arbeiter(s|n|innen|in)?,normale menschen,advocative,people-centrism
einfach(e|er|en|em) bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism
einfach(e|er|es|en|em) m(a|ä)nn(er|s|es|e|ern)?,normale menschen,advocative,people-centrism
einfach(e|er|es|en|em) mensch(en)?,normale menschen,advocative,people-centrism
elfenbeinturm,zzz_none,conflictive,anti-elitism
(.*)elite(n)?,elitenbezug,conflictive,anti-elitism
empörung de(s|r),ärger der menschen,conflictive,anti-elitism
erdreiste(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism
(es|das|dies) (.* )?bürger(n|innen|in)? (.* )?(langt|reicht),menschen reicht es,advocative,people-centrism
(.*)establishment(s)?,elitenbezug,conflictive,anti-elitism
etabliert(e|er|en) (.*)partei(en)?,zzz_none,conflictive,anti-elitism
eurokrat(.*),zzz_none,conflictive,anti-elitism
fälschlich(erweise)?( (für|als)( eine(n)?)?)? ,pseudo-eliten,conflictive,anti-elitism
filz,zzz_none,conflictive,anti-elitism
finan(c|z)ier(s|e)?,zzz_none,conflictive,anti-elitism
fremdherrschaft,zzz_none,conflictive,anti-elitism
geiselhaft,zzz_none,conflictive,anti-elitism
gemein(e|es|en|em) volk(s|es|e)?,normale menschen,advocative,people-centrism
globalist(en|in|innen)?,zzz_none,conflictive,anti-elitism
(grund)?anständig(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
(grund)?anständig(e|er|es|en|em) mensch(en)?,ehrliche menschen,advocative,people-centrism
(grund)?vernünftig(e|er|en) leute(n)?,common sense,advocative,people-centrism
(grund)?vernünftig(e|er|es|en|em) mensch(en)?,common sense,advocative,people-centrism
günstling(s|e|en)?,zzz_none,conflictive,anti-elitism
(haben|hat) (.* )?bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
hochnäsig(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
irrwitz(.*),zzz_none,conflictive,anti-elitism
(.*)kapitalist(en|in|innen)?,elitenbezug,conflictive,anti-elitism
konzerninteresse(s|n)?,zzz_none,conflictive,anti-elitism
konzernlobbyist(.*),zzz_none,conflictive,anti-elitism
korrumpier(.*),zzz_none,conflictive,anti-elitism
korrupt(e|er|es|en|em)? ,korrupte eliten,conflictive,anti-elitism
kreisen,zzz_none,conflictive,anti-elitism
kuhhandel(s)?,zzz_none,conflictive,anti-elitism
(.*)kungel(.*),zzz_none,conflictive,anti-elitism
lakai(e|en)?,zzz_none,conflictive,anti-elitism
lebensfern(.*),zzz_none,conflictive,anti-elitism
lebensfremd(.*),zzz_none,conflictive,anti-elitism
lug,zzz_none,conflictive,anti-elitism
machthunger(s)?,zzz_none,conflictive,anti-elitism
machthungrig(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism
machtversessenheit,zzz_none,conflictive,anti-elitism
mafia,zzz_none,conflictive,anti-elitism
mauschelei(en)?,zzz_none,conflictive,anti-elitism
mehrheit (der|im|in der|unter den|aller),mehrheit,advocative,sovereignty
mehrheit (der|unter den|aller) bürger(n|innen)?,mehrheit,advocative,sovereignty
mehrheit (des|im) volk(s|es|e)?,mehrheit,advocative,sovereignty
mehrheitsmeinung(en)?,zzz_none,advocative,sovereignty
nomenklatura,zzz_none,conflictive,anti-elitism
normal(e|er|en|em) bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism
normalsterblich(.*),zzz_none,advocative,people-centrism
oberschicht,zzz_none,conflictive,anti-elitism
ohne (.* )?rückgrat,zzz_none,conflictive,anti-elitism
opportunist(en|in|innen)?,zzz_none,conflictive,anti-elitism
österreicher(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
österreichische(n|r)? tradition(en)?,zzz_none,advocative,people-centrism
(.*)partei(en)? (.* )?(be|an)?lüg(t|en),unaufrichtige eliten,conflictive,anti-elitism
(.*)partei(en)?(-)?diktatur,zzz_none,conflictive,anti-elitism
(.*)partei(en)?(-)?kartell(.*),zzz_none,conflictive,anti-elitism
parteien(-)?system,zzz_none,conflictive,anti-elitism
plebiszitär(e|er|es|en|em)?,direkte demokratie,advocative,sovereignty
pöbel(s)?,zzz_none,conflictive,anti-elitism
politiker(innen|in)? (.* )?(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism
politiker(innen|in)? (.* )?(vor)?täusch(t|en),unaufrichtige eliten,conflictive,anti-elitism
politiker(-)?kaste,zzz_none,conflictive,anti-elitism
politikversagen(s)?,zzz_none,conflictive,anti-elitism
politische(n|m|s)? versagen(s)?,zzz_none,conflictive,anti-elitism
politische(r|n)? klasse,zzz_none,conflictive,anti-elitism
politische(r|n|m|s)? kaste(.*),zzz_none,conflictive,anti-elitism
politische(s|n|m)? theater(.*),zzz_none,conflictive,anti-elitism
polit(-)?theater(.*),zzz_none,conflictive,anti-elitism
(prinzipien|gesinnung|überzeugung(en)?|grundsätze) (über bord w(e|i)rf(en|t)|verr(a|ä)t(en)?|verg(e|i)ss(en|t)|änder(n|t)|wechsel(n|t)|tausch(t|en)),zzz_none,conflictive,anti-elitism
prinzipienlos(.*),zzz_none,conflictive,anti-elitism
probleme (der|einer|unserer) leute,probleme der menschen,advocative,people-centrism
propagand(.*),zzz_none,conflictive,anti-elitism
pseudo(-)?(.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism
raubritter(.*),zzz_none,conflictive,anti-elitism
realitätsfern(e|er|es|en|em)? ,"abgehobene, dreiste eliten",conflictive,anti-elitism
realitätsfremd(e|er|es|en|em)? ,"abgehobene, dreiste eliten",conflictive,anti-elitism
rechtschaffen(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
redlich(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
regierung(en)? (.* )?(auf)?zwing(t|en),diktatorische eliten,conflictive,anti-elitism
regierung(en)? (.* )?(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism
regierung(en)? (.* )?paktier(t|en),paktierende eliten,conflictive,anti-elitism
rückgratlos(.*),zzz_none,conflictive,anti-elitism
sagen dürfen,zzz_none,advocative,sovereignty
schäm(t|en),zzz_none,conflictive,anti-elitism
schande,zzz_none,conflictive,anti-elitism
schickeria,zzz_none,conflictive,anti-elitism
schickimicki(s)?,zzz_none,conflictive,anti-elitism
schmierfink(.*),zzz_none,conflictive,anti-elitism
schmierig(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism
schreiberling(.*),zzz_none,conflictive,anti-elitism
schweigend(e|er|en) mehrheit,schweigende mehrheit,advocative,people-centrism
schweizer(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
schweizer tradition(en)?,zzz_none,advocative,people-centrism
selbstherrlich(.*),diktatorische eliten,conflictive,anti-elitism
sich (.* )?bürger(innen|in)? (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism
so(-)?genannt(e|er|en) (.*)medien,pseudo-eliten,conflictive,anti-elitism
so(-| )?genannt(e|er|es|en|em)? ,pseudo-eliten,conflictive,anti-elitism
standhaft(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism
steuerzahlend(e|er|en|em) bürger(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism
steuerzahler(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
stimmvieh,zzz_none,conflictive,anti-elitism
system(-)?partei(en)?,zzz_none,conflictive,anti-elitism
täuschung,zzz_none,conflictive,anti-elitism
technokrat(.*),zzz_none,conflictive,anti-elitism
teil des systems,zzz_none,conflictive,anti-elitism
tradition(en)?,zzz_none,advocative,people-centrism
überheblich(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
undemokratisch(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism
unehrlich(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism
unmut,zzz_none,conflictive,anti-elitism
uns(er(e|er|en))? bürger(n|innen)?,unsere leute,advocative,people-centrism
uns(er(e|er|en))? steuerzahler(n|innen)?,unsere leute,advocative,people-centrism
unters volk,zzz_none,advocative,people-centrism
verlogen(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism
vermeintlich(e|er|en|em)? (.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
vermeintlich(e|er|en)? (.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism
vermeintlich(e|er|es|en|em)? (.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism
versteh(t|en) (.* )?bevölkerung,common sense,advocative,people-centrism
versteh(t|en) (.* )?bürger(innen|in)?,common sense,advocative,people-centrism
versteh(t|en) (.* )?deutsche(n|r)?,common sense,advocative,people-centrism
versteh(t|en) (.* )?österreicher(innen|in)?,common sense,advocative,people-centrism
versteh(t|en) (.* )?schweizer(innen|in)?,common sense,advocative,people-centrism
vetter(n|li)wirtschaft,zzz_none,conflictive,anti-elitism
volk (ab)?stimm(t|en),direkte demokratie,advocative,sovereignty
volksabstimmung(en)?,direkte demokratie,advocative,sovereignty
volksauftr(a|ä)g(s|e|en)?,direkte demokratie,advocative,sovereignty
volksentscheid(s|e|en)?,direkte demokratie,advocative,sovereignty
volksnähe,zzz_none,advocative,people-centrism
volkssouveränität,zzz_none,advocative,sovereignty
volksverr(a|ä)t(.*),zzz_none,conflictive,anti-elitism
volkswille(n|ns)?,volkswille,advocative,sovereignty
volk (.* )?versteh(t|en),common sense,advocative,people-centrism
volk (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
von oben herab,zzz_none,conflictive,anti-elitism
wähler(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
wähler(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
wähler(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism
wählertäuschung,zzz_none,conflictive,anti-elitism
wahlvieh,zzz_none,conflictive,anti-elitism
wei(ß|ss) (.* )?bevölkerung,common sense,advocative,people-centrism
wei(ß|ss) (.* )?mehrheit,common sense,advocative,people-centrism
wendeh(a|ä)ls(e)?,zzz_none,conflictive,anti-elitism
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?allgemeinheit,volkswille,advocative,sovereignty
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?bevölkerung,volkswille,advocative,sovereignty
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?bürger(innen|in)?,volkswille,advocative,sovereignty
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?masse,volkswille,advocative,sovereignty
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?volk,volkswille,advocative,sovereignty
wir (als )?bürger(innen)?,unsere leute,advocative,people-centrism
wir (als )?steuerzahler(innen)?,unsere leute,advocative,people-centrism
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?arbeiter(innen)?,volkswille,advocative,sovereignty
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?bürger(innen)?,volkswille,advocative,sovereignty
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?steuerzahler(innen)?,volkswille,advocative,sovereignty
(wunsch|wünsche|anliegen|ansuchen|verlangen) (der|einer|unserer) bevölkerung,volkswille,advocative,sovereignty
wut de(s|r) bürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism
zugeben,zzz_none,conflictive,anti-elitism
zu( )?lasten de(s|r) deutschen,auf kosten der menschen,conflictive,anti-elitism
zu( )?lasten de(s|r) österreicher(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
zu( )?lasten de(s|r) schweizer(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
zu( )?lasten de(s|r) steuerzahler(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
zum schaden de(s|r) bürger(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
(a|ä)ngst(e)? (der|einer|unserer) bevölkerung,sorgen der menschen,advocative,people-centrism
(a|ä)ngst(e)? (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism
(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) menschen,sorgen der menschen,advocative,people-centrism
abgehoben,zzz_none,conflictive,anti-elitism
abgehoben(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
abgehoben(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
abgehoben(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism
abstimmen,zzz_none,advocative,sovereignty
absurdität,zzz_none,conflictive,anti-elitism
absurdität(en)?,zzz_none,conflictive,anti-elitism
adel,zzz_none,conflictive,anti-elitism
(.*)adel(s)?,zzz_none,conflictive,anti-elitism
allgemeinheit,volksbezug,advocative,people-centrism
allgemeinheit (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism
allgemeinheit (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
alten parteien,zzz_none,conflictive,anti-elitism
alte(r|n) (.*)partei(en)?,zzz_none,conflictive,anti-elitism
anbieder(nd|n|t),zzz_none,conflictive,anti-elitism
angeblich(e|er|en)? (.*)elite(n)?,pseudo-eliten,conflictive,anti-elitism
angeblich(e|er|en)? (.* )?regierung(en)?,pseudo-eliten,conflictive,anti-elitism
angeblich(e|er|en)? (.* )?wirtschaft,pseudo-eliten,conflictive,anti-elitism
angeblich(e|er|es|en|em)? ,pseudo-eliten,conflictive,anti-elitism
angestellte(n|r)?,volksbezug,advocative,people-centrism
angestellte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
angestellte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
anma(ß|ss)ung,zzz_none,conflictive,anti-elitism
anständig(e|er|es|en|em) bürger(s|n|innen|in)?,zzz_none,advocative,people-centrism
anständig(e|er|es|en|em) mensch(en)?,zzz_none,advocative,people-centrism
(.*)arbeitend(e|er|en|em) mensch(en)?,arbeitende menschen,advocative,people-centrism
(.*)arbeitend(e|er|en) leute(n)?,arbeitende menschen,advocative,people-centrism
arbeitend(e|er|es|en|em)?,arbeitende menschen,advocative,people-centrism
arbeiterschaft,volksbezug,advocative,people-centrism
arbeiter(s|n|innen|in)?,volksbezug,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism
arbeitnehmer(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
arbeitnehmer(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
arbeitnehmer(s|n|innen|in)?,volksbezug,advocative,people-centrism
ärger de(s|r),ärger der menschen,conflictive,anti-elitism
arglistig(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism
(auf)?bürde(t|n) ,diktatorische eliten,conflictive,anti-elitism
auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism
auf kosten,zzz_none,conflictive,anti-elitism
auf kosten der bevölkerung,auf kosten der menschen,conflictive,anti-elitism
auf kosten der frau(en)?,auf kosten der menschen,conflictive,anti-elitism
auf kosten der mehrheit,auf kosten der menschen,conflictive,anti-elitism
auf kosten de(s|r),auf kosten der menschen,conflictive,anti-elitism
auf kosten de(s|r) arbeitnehmer(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
auf kosten de(s|r) menschen,auf kosten der menschen,conflictive,anti-elitism
auf kosten de(s|r) steuerzahler(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
aufrichtig(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism
aufzwingen,zzz_none,conflictive,sovereignty
(auf)?zwing(t|en) ,diktatorische eliten,conflictive,anti-elitism
(auf)?zwing(t|en) (.*)partei(en)?,diktatorische eliten,conflictive,anti-elitism
(auf)?zwing(t|en) (.* )?regierung(en)?,diktatorische eliten,conflictive,anti-elitism
ausbeuten,zzz_none,conflictive,anti-elitism
ausbeuter(s|n|in|innen)?,zzz_none,conflictive,anti-elitism
ausbeute(t|n),zzz_none,conflictive,anti-elitism
(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism
autokrat(.*),zzz_none,conflictive,anti-elitism
autokrat,zzz_none,conflictive,anti-elitism
autokraten,zzz_none,conflictive,anti-elitism
autokrat(en|in)?,zzz_none,conflictive,anti-elitism
bank(i)?er(s)?,zzz_none,conflictive,anti-elitism
(be|an)?lüg(t|en) ,unaufrichtige eliten,conflictive,anti-elitism
bedenken (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism
(be|ein)wohner(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
(be|ein)wohner(s|n|innen|in)?,volksbezug,advocative,people-centrism
befürchtung(en)? (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism
beherrsch(t|en),zzz_none,conflictive,anti-elitism
berufspolitiker,zzz_none,conflictive,anti-elitism
berufstätig(e|er|en) frau(en)?,arbeitende menschen,advocative,people-centrism
berufstätig(e|er|es|en|em)?,arbeitende menschen,advocative,people-centrism
berufstätige(n|r)?,volksbezug,advocative,people-centrism
beschäftigte(n|r)?,volksbezug,advocative,people-centrism
beschäftigte(n|r)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism
beschäftigte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
beschäftigte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
bessere gesellschaft,zzz_none,conflictive,anti-elitism
bessere(n|r)? gesellschaft,zzz_none,conflictive,anti-elitism
bestechlich(e|er|es|en|em)? ,korrupte eliten,conflictive,anti-elitism
best(i|e)ch(t|en),korrupte eliten,conflictive,anti-elitism
(.*)betrug(.*),zzz_none,conflictive,anti-elitism
betrüg(t|en),unaufrichtige eliten,conflictive,anti-elitism
bevölkerung,volksbezug,advocative,people-centrism
bevölkerung (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism
bevölkerung (.* )?versteh(t|en),common sense,advocative,people-centrism
bevölkerung (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
bevölkerung (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
bilderberg(.*),zzz_none,conflictive,anti-elitism
bonzen,zzz_none,conflictive,anti-elitism
braucht(u|ü)m(.*),zzz_none,advocative,people-centrism
brav(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
brav(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism
breit(e|er|en) masse(n)?,zzz_none,advocative,people-centrism
br(i|e)ch(t|en),unaufrichtige eliten,conflictive,anti-elitism
büezer(s|n|innen|in)?,volksbezug,advocative,people-centrism
bürde(t|n) (.*) auf,den menschen aufzwingen,conflictive,anti-elitism
bürgerinitiative(n)?,direkte demokratie,advocative,sovereignty
bürger(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|überdrüssig|müde|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism
bürger(innen|in)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism
bürgernah,zzz_none,advocative,people-centrism
bürgernähe,zzz_none,advocative,people-centrism
bürgernah(e|er|es|en|em)?,zzz_none,advocative,people-centrism
bürger(s|n|innen|in)?,volksbezug,advocative,people-centrism
bürokratie,elitenbezug,conflictive,anti-elitism
(chuzpe|frechheit|stirn|nerv(en)?) (.* )?(ha(t|ben)|besitz(t|en)|verfüg(t|en)),"abgehobene, dreiste eliten",conflictive,anti-elitism
degeneriert(e|er|es|en|em)? ,korrupte eliten,conflictive,anti-elitism
dem rücken,zzz_none,conflictive,anti-elitism
dem rücken de(s|r),auf kosten der menschen,conflictive,anti-elitism
dem rücken de(s|r) beschäftigten,auf kosten der menschen,conflictive,anti-elitism
dem rücken de(s|r) bürger(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism
dem rücken de(s|r) menschen,auf kosten der menschen,conflictive,anti-elitism
den rücken,zzz_none,conflictive,anti-elitism
despotisch(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism
deutsche(n|r)?,volksbezug,advocative,people-centrism
deutsche(n|r)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
deutsche(n|r)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism
deutsche(n|r)? werte(n)?,zzz_none,advocative,people-centrism
deutsche(n)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
deutsche(r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty
(die|der|den)( unteren)? 99(-| )?(%|prozent),zzz_none,advocative,people-centrism
(die|der) politik,zzz_none,conflictive,anti-elitism
die mehrheit der deutschen,zzz_none,advocative,sovereignty
die mehrheit der österreicher,zzz_none,advocative,sovereignty
die mehrheit der schweizer,zzz_none,advocative,sovereignty
(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism
die politik,zzz_none,conflictive,anti-elitism
die vielen (.* )?wissen,common sense,advocative,people-centrism
die vielen (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty
diktatorisch(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism
diktier(t|en) ,diktatorische eliten,conflictive,anti-elitism
direktdemokratisch(e|er|en|em)?,direkte demokratie,advocative,sovereignty
durchschnittlich(e|er|en|em) arbeitnehmer(s|n|innen|in)?,normale menschen,advocative,people-centrism
durchschnittlich(e|er|es|en|em)?,normale menschen,advocative,people-centrism
durchschnitts(-)?(.*),normale menschen,advocative,people-centrism
ehrbar(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism
ehrlich(e|er|es|en|em),ehrliche menschen,advocative,people-centrism
ehrlich(e|er|es|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
ehrlich(e|er|es|en|em) steuerzahler(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism
