Word,Sub_Type,Type2,Type3,fear citizens  
auf kosten de(s|r) deutschen,auf kosten der menschen,conflictive,anti-elitism,at the expense of the Germans  
auf kosten de(s|r) österreicher(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of Austrians  
auf kosten de(s|r) schweizer(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of Swiss  
(aus)?verkauf(t|en) (.*)partei(en)?,verabscheuenswerte eliten,conflictive,anti-elitism,sales party  
b(a|ä)nk(i)?er(.*),zzz_none,conflictive,anti-elitism,banker  
berufspolitiker(s|n|innen|in)?,zzz_none,conflictive,anti-elitism,professional politician
bevölkerung (.* )?wei(ß|ss),common sense,advocative,people-centrism,population white  
bonze(.*),zzz_none,conflictive,anti-elitism,bigwig  
bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,citizen(s) have the nose  
bürger(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,citizen(s) has the nose  
bürger(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,citizen(s) understand
bürger(innen|in)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,citizen demand  
bürger(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,citizen want  
bürger(s|n|innen|in)? (von|auf) der stra(ß|ss)e,normale menschen,advocative,people-centrism,citizen of the street  
bürgerwille(n|ns)?,volkswille,advocative,sovereignty,will of the citizen  
bürokrat(en|in|innen)?,elitenbezug,conflictive,anti-elitism,bureaucrat  
(.*)desaster(s)?,zzz_none,conflictive,anti-elitism,disaster  
deutsche(n|r)? tradition(en)?,zzz_none,advocative,people-centrism,German tradition  
deutsche(n|r)? (.* )?versteh(t|en),common sense,advocative,people-centrism,German understanding  
direkt(e|er)? demokratie,direkte demokratie,advocative,sovereignty,direct democracy  
dreist(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,boldness
durchschnittlich(e|er|en|em) deutsche(n|r)?,normale menschen,advocative,people-centrism,average German  
durchschnittlich(e|er|en|em) österreicher(s|n|innen|in)?,normale menschen,advocative,people-centrism,average Austrian  
durchschnittlich(e|er|en|em) schweizer(s|n|innen|in)?,normale menschen,advocative,people-centrism,average Swiss  
durchschnitts(-)?bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,average citizen  
durchschnitts(-)?deutsche(n|r)?,normale menschen,advocative,people-centrism,average Germans  
durchschnitts(-)?österreicher(s|n|innen|in)?,normale menschen,advocative,people-centrism,average Austrian  
durchschnitts(-)?schweizer(s|n|innen|in)?,normale menschen,advocative,people-centrism,average Swiss  
einfach(e|er|en|em) arbeiter(s|n|innen|in)?,normale menschen,advocative,people-centrism,simple worker  
einfach(e|er|en|em) bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,simple citizen  
einfach(e|er|es|en|em) m(a|ä)nn(er|s|es|e|ern)?,normale menschen,advocative,people-centrism,simple man  
einfach(e|er|es|en|em) mensch(en)?,normale menschen,advocative,people-centrism,simple person  
elfenbeinturm,zzz_none,conflictive,anti-elitism,ivory tower  
(.*)elite(n)?,elitenbezug,conflictive,anti-elitism,elite  
empörung de(s|r),ärger der menschen,conflictive,anti-elitism,outrage  
erdreiste(t|n),"abgehobene, dreiste eliten",conflictive,anti-elitism,dared
(es|das|dies) (.* )?bürger(n|innen|in)? (.* )?(langt|reicht),menschen reicht es,advocative,people-centrism,the citizen is enough  
(.*)establishment(s)?,elitenbezug,conflictive,anti-elitism,establishments  
etabliert(e|er|en) (.*)partei(en)?,zzz_none,conflictive,anti-elitism,established party  
eurokrat(.*),zzz_none,conflictive,anti-elitism,eurocrat  
fälschlich(erweise)?( (für|als)( eine(n)?)?)? ,pseudo-eliten,conflictive,anti-elitism,wrongly for a
filz,zzz_none,conflictive,anti-elitism,felt  
finan(c|z)ier(s|e)?,zzz_none,conflictive,anti-elitism,financing  
fremdherrschaft,zzz_none,conflictive,anti-elitism,foreign rule  
geiselhaft,zzz_none,conflictive,anti-elitism,hostage situation  
gemein(e|es|en|em) volk(s|es|e)?,normale menschen,advocative,people-centrism,common people  
globalist(en|in|innen)?,zzz_none,conflictive,anti-elitism,globalist  
(grund)?anständig(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,proper citizen  
(grund)?anständig(e|er|es|en|em) mensch(en)?,ehrliche menschen,advocative,people-centrism,proper person  
(grund)?vernünftig(e|er|en) leute(n)?,common sense,advocative,people-centrism,sensible people  
(grund)?vernünftig(e|er|es|en|em) mensch(en)?,common sense,advocative,people-centrism,sensible person  
günstling(s|e|en)?,zzz_none,conflictive,anti-elitism,favorite  
(haben|hat) (.* )?bürger(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,have citizen(s) (the nose|the snout|enough|full|thick)  
hochnäsig(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,snobbish  
irrwitz(.*),zzz_none,conflictive,anti-elitism,nonsense  
(.*)kapitalist(en|in|innen)?,elitenbezug,conflictive,anti-elitism,capitalist(s)  
konzerninteresse(s|n)?,zzz_none,conflictive,anti-elitism,corporate interest  
konzernlobbyist(.*),zzz_none,conflictive,anti-elitism,corporate lobbyist  
korrumpier(.*),zzz_none,conflictive,anti-elitism,corrupting  
korrupt(e|er|es|en|em)? ,korrupte eliten,conflictive,anti-elitism,corrupt  
kreisen,zzz_none,conflictive,anti-elitism,circles  
kuhhandel(s)?,zzz_none,conflictive,anti-elitism,cattle trading  
(.*)kungel(.*),zzz_none,conflictive,anti-elitism,clique  
lakai(e|en)?,zzz_none,conflictive,anti-elitism,lackey  
lebensfern(.*),zzz_none,conflictive,anti-elitism,out of touch with life  
lebensfremd(.*),zzz_none,conflictive,anti-elitism,alien to life  
lug,zzz_none,conflictive,anti-elitism,lie
machthunger(s)?,zzz_none,conflictive,anti-elitism,hunger for power
machthungrig(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism,power hungry
machtversessenheit,zzz_none,conflictive,anti-elitism,power obsession
mafia,zzz_none,conflictive,anti-elitism,mafia
mauschelei(en)?,zzz_none,conflictive,anti-elitism,scheming  
mehrheit (der|im|in der|unter den|aller),mehrheit,advocative,sovereignty,majority  
mehrheit (der|unter den|aller) bürger(n|innen)?,mehrheit,advocative,sovereignty,majority of citizens  
mehrheit (des|im) volk(s|es|e)?,mehrheit,advocative,sovereignty,majority of the people  
mehrheitsmeinung(en)?,zzz_none,advocative,sovereignty,majority opinion  
nomenklatura,zzz_none,conflictive,anti-elitism,nomenclature  
normal(e|er|en|em) bürger(s|n|innen|in)?,normale menschen,advocative,people-centrism,normal citizen  
normalsterblich(.*),zzz_none,advocative,people-centrism,ordinary mortal  
oberschicht,zzz_none,conflictive,anti-elitism,upper class  
ohne (.* )?rückgrat,zzz_none,conflictive,anti-elitism,without backbone  
opportunist(en|in|innen)?,zzz_none,conflictive,anti-elitism,opportunist  
österreicher(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,Austrian understand  
österreichische(n|r)? tradition(en)?,zzz_none,advocative,people-centrism,Austrian tradition  
(.*)partei(en)? (.* )?(be|an)?lüg(t|en),unaufrichtige eliten,conflictive,anti-elitism,party lie  
(.*)partei(en)?(-)?diktatur,zzz_none,conflictive,anti-elitism,party dictatorship
(.*)partei(en)?(-)?kartell(.*),zzz_none,conflictive,anti-elitism,party cartel  
parteien(-)?system,zzz_none,conflictive,anti-elitism,party system  
plebiszitär(e|er|es|en|em)?,direkte demokratie,advocative,sovereignty,plebiscitary  
pöbel(s)?,zzz_none,conflictive,anti-elitism,mob  
politiker(innen|in)? (.* )?(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,politician sellout
politiker(innen|in)? (.* )?(vor)?täusch(t|en),unaufrichtige eliten,conflictive,anti-elitism,politician deception  
politiker(-)?kaste,zzz_none,conflictive,anti-elitism,political caste  
politikversagen(s)?,zzz_none,conflictive,anti-elitism,political failure  
politische(n|m|s)? versagen(s)?,zzz_none,conflictive,anti-elitism,political failures  
politische(r|n)? klasse,zzz_none,conflictive,anti-elitism,political class  
politische(r|n|m|s)? kaste(.*),zzz_none,conflictive,anti-elitism,political caste  
politische(s|n|m)? theater(.*),zzz_none,conflictive,anti-elitism,political theater  
polit(-)?theater(.*),zzz_none,conflictive,anti-elitism,political theater  
(prinzipien|gesinnung|überzeugung(en)?|grundsätze) (über bord w(e|i)rf(en|t)|verr(a|ä)t(en)?|verg(e|i)ss(en|t)|änder(n|t)|wechsel(n|t)|tausch(t|en)),zzz_none,conflictive,anti-elitism,principles thrown overboard  
prinzipienlos(.*),zzz_none,conflictive,anti-elitism,principle-less
probleme (der|einer|unserer) leute,probleme der menschen,advocative,people-centrism,problems of the people  
propagand(.*),zzz_none,conflictive,anti-elitism,propaganda  
pseudo(-)?(.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism,pseudo party  
raubritter(.*),zzz_none,conflictive,anti-elitism,robber knight  
realitätsfern(e|er|es|en|em)? ,"abgehobene, dreiste eliten",conflictive,anti-elitism,detached from reality  
realitätsfremd(e|er|es|en|em)? ,"abgehobene, dreiste eliten",conflictive,anti-elitism,unrealistic  
rechtschaffen(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,righteous citizen  
redlich(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,honest citizen  
regierung(en)? (.* )?(auf)?zwing(t|en),diktatorische eliten,conflictive,anti-elitism,government compulsion  
regierung(en)? (.* )?(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,government sale
regierung(en)? (.* )?paktier(t|en),paktierende eliten,conflictive,anti-elitism,government pact  
rückgratlos(.*),zzz_none,conflictive,anti-elitism,spineless  
sagen dürfen,zzz_none,advocative,sovereignty,allowed to say  
schäm(t|en),zzz_none,conflictive,anti-elitism,shame  
schande,zzz_none,conflictive,anti-elitism,disgrace  
schickeria,zzz_none,conflictive,anti-elitism,fashionable crowd  
schickimicki(s)?,zzz_none,conflictive,anti-elitism,posh people  
schmierfink(.*),zzz_none,conflictive,anti-elitism,sly person  
schmierig(e|er|es|en|em)?,zzz_none,conflictive,anti-elitism,slippery  
schreiberling(.*),zzz_none,conflictive,anti-elitism,writer
schweigend(e|er|en) mehrheit,schweigende mehrheit,advocative,people-centrism,silent majority  
schweizer(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,Swiss understanding  
schweizer tradition(en)?,zzz_none,advocative,people-centrism,Swiss traditions  
selbstherrlich(.*),diktatorische eliten,conflictive,anti-elitism,arrogantly  
sich (.* )?bürger(innen|in)? (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,citizens resisting
so(-)?genannt(e|er|en) (.*)medien,pseudo-eliten,conflictive,anti-elitism,so-called media  
so(-| )?genannt(e|er|es|en|em)? ,pseudo-eliten,conflictive,anti-elitism,so-called  
standhaft(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism,steadfast  
steuerzahlend(e|er|en|em) bürger(s|n|innen|in)?,arbeitende menschen,advocative,people-centrism,taxpaying citizens  
steuerzahler(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,taxpayer(s) want
stimmvieh,zzz_none,conflictive,anti-elitism,voting cattle  
system(-)?partei(en)?,zzz_none,conflictive,anti-elitism,system party  
täuschung,zzz_none,conflictive,anti-elitism,deception  
technokrat(.*),zzz_none,conflictive,anti-elitism,technocrat  
teil des systems,zzz_none,conflictive,anti-elitism,part of the system
tradition(en)?,zzz_none,advocative,people-centrism,tradition  
überheblich(e|er|es|en|em)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,arrogant  
undemokratisch(e|er|es|en|em)? ,diktatorische eliten,conflictive,anti-elitism,undemocratic  
unehrlich(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism,dishonest  
unmut,zzz_none,conflictive,anti-elitism,discontent
uns(er(e|er|en))? bürger(n|innen)?,unsere leute,advocative,people-centrism,our citizens  
uns(er(e|er|en))? steuerzahler(n|innen)?,unsere leute,advocative,people-centrism,our taxpayers  
unters volk,zzz_none,advocative,people-centrism,among the people  
verlogen(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism,deceitful  
vermeintlich(e|er|en|em)? (.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism,alleged politicians  
vermeintlich(e|er|en)? (.*)partei(en)?,pseudo-eliten,conflictive,anti-elitism,alleged party  
vermeintlich(e|er|es|en|em)? (.* )?politiker(s|n|innen|in)?,pseudo-eliten,conflictive,anti-elitism,alleged politician  
versteh(t|en) (.* )?bevölkerung,common sense,advocative,people-centrism,understand population  
versteh(t|en) (.* )?bürger(innen|in)?,common sense,advocative,people-centrism,understand citizens  
versteh(t|en) (.* )?deutsche(n|r)?,common sense,advocative,people-centrism,understand Germans
versteh(t|en) (.* )?österreicher(innen|in)?,common sense,advocative,people-centrism,understand Austrians  
versteh(t|en) (.* )?schweizer(innen|in)?,common sense,advocative,people-centrism,understand Swiss  
vetter(n|li)wirtschaft,zzz_none,conflictive,anti-elitism,cousin economy  
volk (ab)?stimm(t|en),direkte demokratie,advocative,sovereignty,nation (up) vote  
volksabstimmung(en)?,direkte demokratie,advocative,sovereignty,referendum  
volksauftr(a|ä)g(s|e|en)?,direkte demokratie,advocative,sovereignty,people's initiatives  
volksentscheid(s|e|en)?,direkte demokratie,advocative,sovereignty,people's decision  
volksnähe,zzz_none,advocative,people-centrism,proximity to the people  
volkssouveränität,zzz_none,advocative,sovereignty,people's sovereignty  
volksverr(a|ä)t(.*),zzz_none,conflictive,anti-elitism,treason against the people  
volkswille(n|ns)?,volkswille,advocative,sovereignty,popular will  
volk (.* )?versteh(t|en),common sense,advocative,people-centrism,understands the people  
volk (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,people want  
von oben herab,zzz_none,conflictive,anti-elitism,from above  
wähler(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,voters are fed up
wähler(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,voters are fed up  
wähler(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,voters understand  
wählertäuschung,zzz_none,conflictive,anti-elitism,voter deception  
wahlvieh,zzz_none,conflictive,anti-elitism,vote cattle  
wei(ß|ss) (.* )?bevölkerung,common sense,advocative,people-centrism,white population
wei(ß|ss) (.* )?mehrheit,common sense,advocative,people-centrism,white majority  
wendeh(a|ä)ls(e)?,zzz_none,conflictive,anti-elitism,transition  
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?allgemeinheit,volkswille,advocative,sovereignty,demands general public  
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?bevölkerung,volkswille,advocative,sovereignty,demands population  
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?bürger(innen|in)?,volkswille,advocative,sovereignty,demands citizens
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?masse,volkswille,advocative,sovereignty,demands mass  
(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht) (.* )?volk,volkswille,advocative,sovereignty,demands people  
wir (als )?bürger(innen)?,unsere leute,advocative,people-centrism,we (as) citizens  
wir (als )?steuerzahler(innen)?,unsere leute,advocative,people-centrism,we (as) taxpayers  
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?arbeiter(innen)?,volkswille,advocative,sovereignty,demands workers  
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?bürger(innen)?,volkswille,advocative,sovereignty,citizens want  
(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen) (.* )?steuerzahler(innen)?,volkswille,advocative,sovereignty,taxpayers want  
(wunsch|wünsche|anliegen|ansuchen|verlangen) (der|einer|unserer) bevölkerung,volkswille,advocative,sovereignty,wishes of the population  
wut de(s|r) bürger(s|innen|in)?,ärger der menschen,conflictive,anti-elitism,citizens' anger  
zugeben,zzz_none,conflictive,anti-elitism,admit  
zu( )?lasten de(s|r) deutschen,auf kosten der menschen,conflictive,anti-elitism,at the expense of the Germans  
zu( )?lasten de(s|r) österreicher(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of the Austrians  
zu( )?lasten de(s|r) schweizer(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of the Swiss  
zu( )?lasten de(s|r) steuerzahler(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of the taxpayers  
zum schaden de(s|r) bürger(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,to the detriment of the citizens  
(a|ä)ngst(e)? (der|einer|unserer) bevölkerung,sorgen der menschen,advocative,people-centrism,fear of the population  
(a|ä)ngst(e)? (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism,fear of the  
(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) menschen,sorgen der menschen,advocative,people-centrism,fear of the people  
abgehoben,zzz_none,conflictive,anti-elitism,aloof  
abgehoben(e|er|en) (.*)elite(n)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,aloof elite
abgehoben(e|er|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,aloof politician  
abgehoben(e|er|es|en|em) politiker(s|n|innen|in)?,"abgehobene, dreiste eliten",conflictive,anti-elitism,aloof politician  
abstimmen,zzz_none,advocative,sovereignty,vote  
absurdität,zzz_none,conflictive,anti-elitism,absurdity  
absurdität(en)?,zzz_none,conflictive,anti-elitism,absurdities
adel,zzz_none,conflictive,anti-elitism,nobility  
(.*)adel(s)?,zzz_none,conflictive,anti-elitism,nobility levy  
allgemeinheit,volksbezug,advocative,people-centrism,general public  
allgemeinheit (.* )?aufbürde(t|n),den menschen aufzwingen,conflictive,anti-elitism,general public (any) burden  
allgemeinheit (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,"general public (any) wants, demands, wishes"
alten parteien,zzz_none,conflictive,anti-elitism,old parties  
alte(r|n) (.*)partei(en)?,zzz_none,conflictive,anti-elitism,toadying  
anbieder(nd|n|t),zzz_none,conflictive,anti-elitism,alleged elite  
angeblich(e|er|en)? (.*)elite(n)?,pseudo-eliten,conflictive,anti-elitism,alleged government
angeblich(e|er|en)? (.* )?wirtschaft,pseudo-eliten,conflictive,anti-elitism,alleged economy  
angeblich(e|er|es|en|em)? ,pseudo-eliten,conflictive,anti-elitism,alleged  
angestellte(n|r)?,volksbezug,advocative,people-centrism,employee  
angestellte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,employee allegedly  
angestellte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,employee wants  
anma(ß|ss)ung,zzz_none,conflictive,anti-elitism,invitation  
anständig(e|er|es|en|em) bürger(s|n|innen|in)?,zzz_none,advocative,people-centrism,decent citizen  
anständig(e|er|es|en|em) mensch(en)?,zzz_none,advocative,people-centrism,decent person  
(.*)arbeitend(e|er|en|em) mensch(en)?,arbeitende menschen,advocative,people-centrism,working person  
(.*)arbeitend(e|er|en) leute(n)?,arbeitende menschen,advocative,people-centrism,working people  
arbeitend(e|er|es|en|em)?,arbeitende menschen,advocative,people-centrism,working class  
arbeiterschaft,volksbezug,advocative,people-centrism,workers  
arbeiter(s|n|innen|in)?,volksbezug,advocative,people-centrism,employee knowledge  
arbeitnehmer(innen|in)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism,employee demands
arbeitnehmer(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,employee wants  
arbeitnehmer(s|n|innen|in)?,volksbezug,advocative,people-centrism,employee  
ärger de(s|r),ärger der menschen,conflictive,anti-elitism,annoyance  
arglistig(e|er|es|en|em)? ,unaufrichtige eliten,conflictive,anti-elitism,deceitful  
(auf)?bürde(t|n) ,diktatorische eliten,conflictive,anti-elitism,burden
auferleg(t|en),den menschen aufzwingen,conflictive,anti-elitism,imposed  
auf kosten,zzz_none,conflictive,anti-elitism,at the expense  
auf kosten der bevölkerung,auf kosten der menschen,conflictive,anti-elitism,at the expense of the population  
auf kosten der frau(en)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of the woman/women  
auf kosten der mehrheit,auf kosten der menschen,conflictive,anti-elitism,at the expense of the majority  
auf kosten de(s|r),auf kosten der menschen,conflictive,anti-elitism,at the expense of  
auf kosten de(s|r) arbeitnehmer(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of employees  
auf kosten de(s|r) menschen,auf kosten der menschen,conflictive,anti-elitism,at the expense of people  
auf kosten de(s|r) steuerzahler(s|innen|in)?,auf kosten der menschen,conflictive,anti-elitism,at the expense of taxpayers  
aufrichtig(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism,sincere
aufzwingen,zzz_none,conflictive,sovereignty,to impose  
(auf)?zwing(t|en) ,diktatorische eliten,conflictive,anti-elitism,to impose party  
(auf)?zwing(t|en) (.*)partei(en)?,diktatorische eliten,conflictive,anti-elitism,to impose government  
(auf)?zwing(t|en) (.* )?regierung(en)?,diktatorische eliten,conflictive,anti-elitism,to exploit
ausbeuter(s|n|in|innen)?,zzz_none,conflictive,anti-elitism,exploiter  
ausbeute(t|n),zzz_none,conflictive,anti-elitism,exploitation  
(aus)?verkauf(t|en),verabscheuenswerte eliten,conflictive,anti-elitism,sale  
autokrat(.*),zzz_none,conflictive,anti-elitism,autocrat  
autokrat,zzz_none,conflictive,anti-elitism,autocrat
autokraten,zzz_none,conflictive,anti-elitism,autocrats  
autokrat(en|in)?,zzz_none,conflictive,anti-elitism,autocrat  
bank(i)?er(s)?,zzz_none,conflictive,anti-elitism,banker  
(be|an)?lüg(t|en) ,unaufrichtige eliten,conflictive,anti-elitism,lie  
bedenken (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism,concerns  
(be|ein)wohner(innen|in)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,resident(s) want  
(be|ein)wohner(s|n|innen|in)?,volksbezug,advocative,people-centrism,resident(s) fear  
befürchtung(en)? (de(r|s)|eine(s|r)|unsere(s|r)),sorgen der menschen,advocative,people-centrism,rule  
beherrsch(t|en),zzz_none,conflictive,anti-elitism,career politician
berufstätig(e|er|en) frau(en)?,arbeitende menschen,advocative,people-centrism,working woman  
berufstätig(e|er|es|en|em)?,arbeitende menschen,advocative,people-centrism,working  
berufstätige(n|r)?,volksbezug,advocative,people-centrism,employed  
beschäftigte(n|r)?,volksbezug,advocative,people-centrism,employees  
beschäftigte(n|r)? (.* )?(wei(ß|ss)|wissen),common sense,advocative,people-centrism,employees who know
beschäftigte(n|r)? (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,employees demand  
beschäftigte(n|r)? (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,employees want  
bessere gesellschaft,zzz_none,conflictive,anti-elitism,better society  
bessere(n|r)? gesellschaft,zzz_none,conflictive,anti-elitism,better society  
bestechlich(e|er|es|en|em)? ,korrupte eliten,conflictive,anti-elitism,corrupt
best(i|e)ch(t|en),korrupte eliten,conflictive,anti-elitism,best regards  
(.*)betrug(.*),zzz_none,conflictive,anti-elitism,fraud  
betrüg(t|en),unaufrichtige eliten,conflictive,anti-elitism,cheating  
bevölkerung,volksbezug,advocative,people-centrism,population  
bevölkerung (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,population is fed up
bevölkerung (.* )?versteh(t|en),common sense,advocative,people-centrism,population understands  
bevölkerung (.* )?(will|(ein)?fordert|möchte|mag|verlangt|beansprucht|wünscht),volkswille,advocative,sovereignty,population wants  
bevölkerung (.* )?(wollen|(ein)?fordern|möchten|mögen|verlangen|beanspruchen|wünschen),volkswille,advocative,sovereignty,population demand  
bilderberg(.*),zzz_none,conflictive,anti-elitism,Bilderberg  
bonzen,zzz_none,conflictive,anti-elitism,fat cats  
braucht(u|ü)m(.*),zzz_none,advocative,people-centrism,needs  
brav(e|er|en|em) bürger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,brave citizen  
brav(e|er|es|en|em)?,ehrliche menschen,advocative,people-centrism,brave  
breit(e|er|en) masse(n)?,zzz_none,advocative,people-centrism,broad masses  
br(i|e)ch(t|en),unaufrichtige eliten,conflictive,anti-elitism,break
büezer(s|n|innen|in)?,volksbezug,advocative,people-centrism,worker  
